Item Code,Item Name,Brand,Category,Lot Number,Unit,Available Quantity,Alert Quantity,Sales Price,Tax,Status
IT0001,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
,ZS10 Pro,KZ,Audio,,Pcs,1,1,"?1,839.00",Quantity(0.00%),Active
,Mi Band 4,Xiaomi,Wearables,,Pcs,100,1,"?1,528.00",Quantity(0.00%),Active
,Mi Band 4,Xiaomi,Wearables,,Pcs,100,1,"?1,699.00",Quantity(0.00%),Active
,Redmi Airdots,Xiaomi,Audio,,Pcs,100,1,?958.00,Quantity(0.00%),Active
,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
,Piston Fresh,Xiaomi,Audio,,Pcs,180,1,?225.00,Quantity(0.00%),Active
,ZS3,KZ,Audio,,Pcs,100,1,?389.00,Quantity(0.00%),Active
,Edon Handheld Mini Fan,Edon,Appliances,,Pcs,1,1,?399.00,Quantity(0.00%),Active
,Edon Handheld Mini Fan,Edon,Appliances,,Pcs,1,1,?399.00,Quantity(0.00%),Active
,Edon Handheld Mini Fan,Edon,Appliances,,Pcs,1,1,?399.00,Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,X12 Pro,Sabbat,Audio,,Pcs,1,1,"?1,765.00",Quantity(0.00%),Active
,Xiaomi Alkaline AA Battery,Xiaomi,Camera Accessories,,Pcs,0,1,?135.00,Quantity(0.00%),Active
