Product Name,Color,Size,SKU,Barcode,Category,Type,Brand,piece/s per box/s,Minimum,Quantity,No. of box/s,Pending Qty In,Pending Qty Out,Actual Qty,Actual No. of box/s,LxWxH,Cargo Cost,Total Cargo,Cost,Retail,Wholesale,Markup
ZS10 Pro,Black,N/A,GH-ZS10PRO-BLACK-UNIT,N/A,Audio,In-Ear Earphones,KZ,1,0,0.00 pcs,0.00 pcs,0,2,-2.00 pcs,-2.00 pcs,0.00x0.00x0.00,0,?0.00,"?1,311.00","?1,839.00","?1,700.00",40.00%
ZS10 Pro,Blue,N/A,GH-ZS10PRO-BLUE-UNIT,190723220,Audio,In-Ear Earphones,KZ,1,0,0.00 pcs,0.00 pcs,0,0,0.00 pcs,0.00 pcs,0.00x0.00x0.00,0,?0.00,"?1,311.00","?1,839.00","?1,700.00",40.00%
ZS10 Pro,Purple,N/A,GH-ZS10PRO-PURPLE-UNIT,190723222,Audio,In-Ear Earphones,KZ,1,0,0.00 pcs,0.00 pcs,0,0,0.00 pcs,0.00 pcs,0.00x0.00x0.00,0,?0.00,"?1,311.00","?1,839.00","?1,700.00",40.00%
ZS10 Pro,Glare Blue,N/A,GH-ZS10PRO-GLAREBLUE-UNIT,N/A,Audio,In-Ear Earphones,KZ,1,0,0.00 pcs,0.00 pcs,0,0,0.00 pcs,0.00 pcs,0.00x0.00x0.00,0,?0.00,"?1,311.00","?1,839.00","?1,700.00",40.00%
ZS10 Pro,Glare Gold,N/A,GH-ZS10PRO-GLAREGOLD-UNIT,N/A,Audio,In-Ear Earphones,KZ,1,0,0.00 pcs,0.00 pcs,0,0,0.00 pcs,0.00 pcs,0.00x0.00x0.00,0,?0.00,"?1,311.00","?1,839.00","?1,700.00",40.00%
Mi Band 4,Black,N/A,GH-XIAOMI-MB4-BLK,6.93418E+12,Wearables,Fitness Tracker,Xiaomi,100,200,449.00 pcs,4.49 box/s,0,2,447.00 pcs,4.47 box/s,0.00x0.00x0.00,0,?0.00,?882.00,"?1,528.00","?1,480.00",73.00%
Mi Band 4,Wine Red,N/A,GH-XIAOMI-MB4-WineRed,N/A,Wearables,Fitness Tracker,Xiaomi,100,0,0.00 pcs,0.00 pcs,0,0,0.00 pcs,0.00 pcs,0.00x0.00x0.00,0,?0.00,?882.00,"?1,699.00","?1,600.00",93.00%
Redmi Airdots,Black,N/A,GH-REDMIAIRDOTS-BLK,6.93418E+12,Audio,Airbuds,Xiaomi,100,200,2.00 pcs,0.02 box/s,0,0,2.00 pcs,0.02 box/s,0.00x0.00x0.00,0,?0.00,?739.00,?958.00,?940.00,30.00%
Piston Fresh,Black,N/A,GH-PISTONFRESH-BLK,6.97024E+12,Audio,In-Ear Earphones,Xiaomi,180,0,"1,458.00 pcs",8.10 box/s,0,1,"1,457.00 pcs",8.09 box/s,0.00x0.00x0.00,0,?0.00,?156.00,?225.00,?200.00,44.00%
Piston Fresh,Blue,N/A,GH-PISTONFRESH-BLUE,6.97024E+12,Audio,In-Ear Earphones,Xiaomi,180,0,17.00 pcs,0.09 box/s,0,0,17.00 pcs,0.09 box/s,0.00x0.00x0.00,0,?0.00,?156.00,?225.00,?200.00,44.00%
